1007.jpeg,1,-0.547231,0.547899
1030.jpeg,1,-0.508698,0.513247
1067.jpeg,1,-0.727839,0.73331
1132.jpeg,1,-0.835942,0.838166
1136.jpeg,1,-0.31285,0.311638
1162.jpeg,1,-0.397963,0.399539
157.jpeg,1,-0.845608,0.864933
159.jpeg,0,0.679708,-0.667368
168.jpeg,0,0.0674186,-0.0560682
174.jpeg,1,-1.12445,1.1323
179.jpeg,0,0.87291,-0.840473
181.jpeg,0,0.43106,-0.444618
183.jpeg,0,0.287575,-0.277568
195.jpeg,0,0.16753,-0.126611
349.jpeg,1,-0.258941,0.219956
550.jpeg,1,-1.81264,1.84265
553.jpeg,1,-0.522647,0.526364
617.jpeg,1,-1.11035,1.09897
66.jpg,1,-1.68548,1.65552
717.jpeg,1,-0.194496,0.20338
816.jpeg,1,-0.643016,0.618922
840.jpeg,1,-0.339171,0.348063
88.jpeg,1,-1.62137,1.62981
91.jpeg,1,-2.02103,2.02427
